,categories,dislikes,id,likes,locale,title
46,Entertainment,3647.0,zc8QYOGJ54c,73293.0,AT,Hercai 13. Bölüm
47,Entertainment,5106.0,8uCjFD0Ahns,129937.0,AT,Jala Brat x Buba Corelli x Raf Camora - Zove Vienna
48,Music,16298.0,ihWshIvmqLo,275207.0,AT,LOREDANA - GENICK (prod. Miksu & Macloud)
49,Music,50390.0,VAGQdDjNDIQ,170177.0,AT,MERO - Meine Hand (Official Video)
50,Entertainment,4948.0,K6BbVjo-UC8,280617.0,AT,MÄRCHEN in ASOZIAL 4 feat. Kelly | Julien Bam
51,Entertainment,2093.0,uKvagNrhWuA,78321.0,AT,POL1Z1STENS0HN - herz und faust und zwinkerzwinker | NEO MAGAZIN ROYALE mit Jan Böhmermann - ZDFneo
52,Music,2674.0,JtV2D0N5Afs,109911.0,AT,"RAF Camora - ADRIANA (prod. by RAF Camora, The Royals & The Cratez)"
53,Music,11482.0,cXafcy5LXig,121229.0,AT,SHIRIN DAVID feat. XAVIER NAIDOO - Nur mit Dir [Official Video]
54,Entertainment,270.0,OnQ3erG_B80,15178.0,AT,Tones And I - Dance Monkey (Lyrics)
55,Sports,297.0,P4UXYXqhdF4,7681.0,AT,WAC schockt Fohlen bei Europa-Debüt: Gladbach - Wolfsberg 0:4 | UEFA Europa League | DAZN Highlights
56,Sports,36.0,f-Jgf6lHV20,1314.0,AT,Wahnsinn! Sturm-Trainer El Maestro zuckt komplett aus
57,People & Blogs,1912.0,xe0CX-w9rJ0,5301.0,AT,WITZIGE DIY-STREICHE FÜR FREUNDE|| Krieg der Streiche! bei 123 GO!
58,Music,357.0,iGADlPeeXY4,3508.0,AT,Zvezde Granda - Cela emisija 01 - ZG 2019/20 - 21.09.2019.
59,Music,2969.0,Vzo-q-gTI4c,100872.0,AT,☀️ 𝐒𝐔𝐌𝐌𝐄𝐑 𝐂𝐄𝐌 ☀️ feat. Luciano [ official Video ] prod. by Miksu & Macloud & Deats
60,Sports,942.0,VhPw8gtfgv4,50747.0,AU,2019 Singapore Grand Prix: Race Highlights
61,Entertainment,5565.0,iHU9FykWuPo,55458.0,AU,AMAZING HAIR TRICKS that actually work !
62,Music,,COwMysZnru8,,AU,Celebrating the Pretzel!
63,Sports,71.0,15YcLuS2JC0,1323.0,AU,"Collingwood v GWS Match Highlights | PF, 2019 | AFL"
64,Entertainment,1888.0,HMJXsQL1xdQ,119800.0,AU,Cooking My Boyfriends Favorite Meal!
65,Entertainment,595.0,Xw7Aii1Fyq4,88221.0,AU,El Camino: A Breaking Bad Movie | Emmys Commercial | Netflix
66,Gaming,29764.0,OPETg3s3yYM,267964.0,AU,Fortnite X Batman Announce Trailer
67,Film & Animation,4198.0,bwzLiQZDw2I,118827.0,AU,Frozen 2 | Official Trailer 2
68,Comedy,1964.0,MY07JJV_A5k,138689.0,AU,Giving Strangers The iPhone 11 For Answering This Question Correctly..
